customerID,gender,Partner,Dependents,tenure,PhoneService,InternetService,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,SeniorCitizen
2273-QCKXA,Male,No,No,1,Yes,DSL,No,Month-to-month,No,Mailed check,49.05,No,0
0731-EBJQB,Female,Yes,Yes,52,Yes,No,No internet service,One year,Yes,Electronic check,20.4,No,0
1891-QRQSA,Male,Yes,Yes,64,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),111.6,No,1
8028-PNXHQ,Male,Yes,Yes,62,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),24.25,No,0
5630-AHZIL,Female,No,Yes,3,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic),64.5,No,0
2673-CXQEU,Female,No,No,56,Yes,Fiber optic,Yes,One year,No,Electronic check,110.5,No,1
6416-JNVRK,Female,No,No,46,Yes,DSL,No,One year,No,Credit card (automatic),55.65,No,0
5590-ZSKRV,Female,Yes,Yes,8,Yes,DSL,No,Month-to-month,No,Mailed check,54.65,No,0
0191-ZHSKZ,Male,No,No,30,Yes,DSL,Yes,Month-to-month,Yes,Electronic check,74.75,No,1
3887-PBQAO,Female,Yes,Yes,45,Yes,No,No internet service,One year,Yes,Credit card (automatic),25.9,No,0
5919-TMRGD,Female,No,Yes,1,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,79.35,Yes,0
8108-UXRQN,Female,Yes,Yes,11,No,DSL,Yes,Month-to-month,No,Electronic check,50.55,No,0
9191-MYQKX,Female,Yes,No,7,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),75.15,Yes,0
9919-YLNNG,Female,No,No,42,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,No,0
0318-ZOPWS,Female,Yes,No,49,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),20.15,No,0
4445-ZJNMU,Male,No,No,9,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),99.3,No,0
4808-YNLEU,Female,Yes,No,35,Yes,DSL,Yes,One year,Yes,Bank transfer (automatic),62.15,No,0
1862-QRWPE,Female,Yes,Yes,48,Yes,No,No internet service,Two year,No,Bank transfer (automatic),20.65,No,0
2796-NNUFI,Female,Yes,Yes,46,Yes,No,No internet service,Two year,Yes,Mailed check,19.95,No,0
3016-KSVCP,Male,Yes,No,29,No,DSL,Yes,Month-to-month,No,Mailed check,33.75,No,0
4767-HZZHQ,Male,Yes,Yes,30,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),82.05,No,0
2424-WVHPL,Male,No,No,1,Yes,Fiber optic,No,Month-to-month,No,Electronic check,74.7,No,1
7233-PAHHL,Male,Yes,Yes,66,Yes,DSL,Yes,Two year,Yes,Mailed check,84,No,0
6067-NGCEU,Female,No,No,65,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),111.05,No,0
9848-JQJTX,Male,No,No,72,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),100.9,No,0
8637-XJIVR,Female,No,No,12,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,78.95,Yes,0
9803-FTJCG,Male,Yes,Yes,71,Yes,DSL,No,One year,Yes,Credit card (automatic),66.85,No,0
0278-YXOOG,Male,No,No,5,Yes,No,No internet service,Month-to-month,No,Mailed check,21.05,Yes,0
3212-KXOCR,Male,No,No,52,Yes,No,No internet service,Two year,No,Bank transfer (automatic),21,No,0
4598-XLKNJ,Female,Yes,No,25,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,98.5,Yes,1
6380-ARCEH,Male,No,No,1,Yes,No,No internet service,Month-to-month,No,Mailed check,20.2,No,0
3679-XASPY,Female,Yes,Yes,1,Yes,No,No internet service,Month-to-month,No,Electronic check,19.45,No,0
7123-WQUHX,Male,No,No,38,Yes,Fiber optic,Yes,One year,No,Bank transfer (automatic),95,No,0
5386-THSLQ,Female,Yes,No,66,No,DSL,Yes,One year,No,Bank transfer (automatic),45.55,No,1
3192-NQECA,Male,Yes,No,68,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),110,Yes,0
6180-YBIQI,Male,No,No,5,No,DSL,No,Month-to-month,No,Mailed check,24.3,No,0
6728-DKUCO,Female,Yes,Yes,72,Yes,Fiber optic,Yes,One year,Yes,Electronic check,104.15,No,0
9750-BOOHV,Female,No,No,32,No,DSL,No,One year,No,Mailed check,30.15,No,0
8597-CWYHH,Male,No,No,43,Yes,Fiber optic,Yes,One year,No,Mailed check,94.35,No,0
2848-YXSMW,Male,Yes,Yes,72,Yes,No,No internet service,Two year,No,Credit card (automatic),19.4,No,0
0486-HECZI,Male,Yes,No,55,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,96.75,Yes,0
4549-ZDQYY,Female,No,No,52,Yes,DSL,No,One year,No,Credit card (automatic),57.95,No,0
5712-AHQNN,Female,No,No,43,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,91.65,No,0
4846-WHAFZ,Female,Yes,No,37,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,76.5,Yes,1
5256-SKJGO,Female,Yes,Yes,64,No,DSL,Yes,Two year,Yes,Electronic check,54.6,No,0
3071-VBYPO,Male,Yes,Yes,3,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check,89.85,No,0
9560-BBZXK,Female,No,No,36,No,DSL,No,Two year,No,Bank transfer (automatic),31.05,No,0
5299-RULOA,Female,Yes,Yes,10,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,100.25,Yes,0
8402-OOOHJ,Female,No,No,41,Yes,No,No internet service,Two year,No,Mailed check,20.65,No,0
9445-ZUEQE,Male,Yes,Yes,27,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),85.2,No,0
1091-SOZGA,Female,Yes,Yes,56,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),99.8,No,0
2928-HLDBA,Female,No,No,6,Yes,No,No internet service,Month-to-month,No,Mailed check,20.7,No,0
0404-SWRVG,Male,No,No,3,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,74.4,Yes,0
6497-TILVL,Female,Yes,Yes,7,Yes,DSL,No,Month-to-month,No,Mailed check,50.7,No,0
7219-TLZHO,Female,Yes,Yes,4,Yes,No,No internet service,Month-to-month,No,Mailed check,20.85,No,0
4622-YNKIJ,Male,No,No,33,Yes,Fiber optic,Yes,Two year,Yes,Electronic check,88.95,No,0
4412-YLTKF,Female,No,No,27,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,78.05,Yes,1
6734-PSBAW,Male,Yes,No,72,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),23.55,No,0
3930-ZGWVE,Male,No,No,1,Yes,No,No internet service,Month-to-month,No,Mailed check,19.75,No,0
2639-UGMAZ,Male,No,No,71,No,DSL,Yes,One year,Yes,Electronic check,56.45,No,1
2876-GZYZC,Female,No,No,13,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,85.95,No,0
6207-WIOLX,Female,Yes,Yes,25,No,DSL,Yes,Month-to-month,Yes,Credit card (automatic),58.6,Yes,0
8587-XYZSF,Male,No,No,67,Yes,DSL,No,Two year,No,Bank transfer (automatic),50.55,No,0
3091-FYHKI,Male,No,No,1,No,DSL,No,Month-to-month,Yes,Electronic check,35.45,Yes,0
2372-HWUHI,Male,No,No,2,Yes,DSL,No,Month-to-month,No,Electronic check,44.35,Yes,0
7799-LGRDP,Female,No,No,43,Yes,No,No internet service,Two year,Yes,Credit card (automatic),25.7,No,0
7850-VWJUU,Female,No,No,23,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),75,No,0
3774-VBNXY,Female,Yes,Yes,64,Yes,No,No internet service,Two year,No,Mailed check,20.2,No,0
6217-KDYWC,Male,No,Yes,57,Yes,No,No internet service,Two year,Yes,Mailed check,19.6,No,0
0390-DCFDQ,Female,Yes,No,1,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,70.45,Yes,1
3146-MSEGF,Female,Yes,Yes,72,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),88.05,No,1
4080-OGPJL,Female,No,No,8,Yes,DSL,No,Month-to-month,No,Electronic check,71.15,Yes,0
1095-WGNGG,Female,Yes,No,61,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),101.05,No,0
2636-SJDOU,Male,No,No,64,Yes,Fiber optic,No,One year,Yes,Credit card (automatic),84.3,No,0
1131-QQZEB,Male,Yes,No,71,Yes,No,No internet service,Two year,No,Bank transfer (automatic),23.95,No,1
5716-EZXZN,Female,Yes,Yes,65,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic),99.05,No,0
6837-BJYDQ,Male,No,No,3,Yes,No,No internet service,One year,No,Mailed check,19.6,No,0
2135-RXIHG,Male,No,No,1,Yes,DSL,No,Month-to-month,Yes,Electronic check,45.65,Yes,0
6440-DKQGE,Male,No,Yes,30,Yes,DSL,Yes,One year,No,Credit card (automatic),64.5,No,0
3466-BYAVD,Male,Yes,Yes,15,Yes,DSL,No,Month-to-month,Yes,Mailed check,69.5,No,0
3780-YVMFA,Female,Yes,Yes,8,Yes,DSL,Yes,Month-to-month,Yes,Electronic check,68.55,No,0
3874-EQOEP,Male,No,No,7,Yes,Fiber optic,Yes,Month-to-month,No,Mailed check,95,Yes,0
1679-JRFBR,Female,Yes,Yes,70,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),108.15,No,0
9073-ZZIAY,Male,Yes,Yes,62,Yes,DSL,Yes,Two year,No,Electronic check,86.1,No,0
3077-RSNTJ,Female,Yes,Yes,6,Yes,No,No internet service,Month-to-month,No,Mailed check,19.7,No,0
6551-GNYDG,Female,Yes,Yes,14,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),80.9,No,0
9167-APMXZ,Female,No,No,22,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,No,0
2749-CTKAJ,Male,Yes,Yes,22,Yes,No,No internet service,One year,No,Mailed check,20.15,No,0
6371-NZYEG,Male,Yes,Yes,16,Yes,DSL,Yes,Two year,No,Mailed check,64.25,No,0
7554-NEWDD,Male,No,No,10,Yes,No,No internet service,Two year,No,Bank transfer (automatic),25.7,No,0
8992-VONJD,Female,No,Yes,13,Yes,DSL,No,Month-to-month,Yes,Electronic check,56,No,0
0867-MKZVY,Female,Yes,No,20,Yes,Fiber optic,No,Month-to-month,No,Electronic check,82.4,Yes,0
4482-EWFMI,Female,No,No,2,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,69.7,No,0
4648-YPBTM,Male,No,No,53,Yes,DSL,No,Two year,Yes,Bank transfer (automatic),73.9,No,0
2907-ILJBN,Female,Yes,Yes,11,Yes,No,No internet service,One year,No,Mailed check,20.6,No,0
6345-FZOQH,Male,Yes,No,69,Yes,No,No internet service,Two year,No,Mailed check,19.9,No,0
3376-BMGFE,Female,No,No,4,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),70.9,Yes,0
5997-OPVFA,Male,Yes,No,72,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic),89.05,No,0
3445-HXXGF,Male,Yes,No,58,No,DSL,No,Month-to-month,Yes,Electronic check,45.3,Yes,1
1159-WFSGR,Female,Yes,Yes,16,Yes,No,No internet service,Month-to-month,No,Electronic check,20.4,No,0
7654-YWJUF,Male,Yes,No,43,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic),84.25,No,0
1875-QIVME,Female,Yes,No,2,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,104.4,Yes,0
6727-IOTLZ,Male,Yes,No,14,Yes,DSL,Yes,Two year,No,Mailed check,81.95,No,0
0691-JVSYA,Female,Yes,No,53,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),94.85,Yes,0
5918-VUKWP,Female,No,No,32,Yes,No,No internet service,One year,No,Bank transfer (automatic),20.55,No,0
1744-JHKYS,Female,Yes,No,34,Yes,No,No internet service,Month-to-month,No,Electronic check,24.7,No,0
2656-FMOKZ,Female,No,No,15,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,74.45,Yes,1
2070-FNEXE,Female,No,No,7,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),76.45,Yes,1
5947-SGKCL,Female,Yes,Yes,15,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,No,0
3712-PKXZA,Male,Yes,No,61,Yes,No,No internet service,One year,Yes,Credit card (automatic),20.55,No,0
6317-YPKDH,Female,No,No,1,No,DSL,No,Month-to-month,No,Bank transfer (automatic),29.95,Yes,0
6582-OIVSP,Female,No,No,1,Yes,DSL,No,Month-to-month,No,Mailed check,45.3,No,0
9367-WXLCH,Male,No,No,8,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),84.5,Yes,0
5524-KHNJP,Male,Yes,Yes,33,Yes,DSL,Yes,One year,No,Credit card (automatic),74.75,No,0
1918-ZBFQJ,Female,No,No,13,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,79.25,Yes,0
1024-GUALD,Female,Yes,No,1,No,DSL,No,Month-to-month,Yes,Electronic check,24.8,Yes,0
4827-USJHP,Male,No,No,20,Yes,DSL,No,Month-to-month,Yes,Mailed check,51.8,No,0
8167-GJLRN,Male,No,No,3,No,DSL,No,Month-to-month,No,Electronic check,30.4,No,0
0956-SYCWG,Female,No,No,13,Yes,No,No internet service,One year,No,Electronic check,19.65,No,0
8017-UVSZU,Female,Yes,No,40,Yes,DSL,No,Month-to-month,No,Credit card (automatic),56.6,No,0
7100-FQPRV,Male,Yes,Yes,43,Yes,DSL,No,One year,Yes,Credit card (automatic),71.9,No,0
2472-OVKUP,Male,Yes,No,6,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,91,Yes,0
2984-RGEYA,Female,Yes,Yes,69,Yes,No,No internet service,Two year,No,Bank transfer (automatic),19.75,No,0
9680-NIAUV,Female,Yes,Yes,72,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic),109.7,No,0
2146-EGVDT,Male,Yes,Yes,59,Yes,No,No internet service,Two year,No,Credit card (automatic),19.3,No,0
2604-IJPDU,Female,Yes,No,20,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,96.55,No,0
9178-JHUVJ,Male,Yes,Yes,24,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),24.1,No,0
6168-YBYNP,Male,No,No,59,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,111.35,No,0
7255-SSFBC,Male,Yes,Yes,72,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),112.25,No,0
3645-DEYGF,Male,No,Yes,1,Yes,No,No internet service,Month-to-month,No,Mailed check,20.75,No,0
9323-HGFWY,Female,Yes,No,27,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),101.9,No,0
8544-GOQSH,Female,No,No,14,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),80.05,No,0
3363-DTIVD,Male,Yes,Yes,71,Yes,Fiber optic,Yes,Two year,No,Electronic check,105.55,No,0
7018-WBJNK,Male,No,Yes,13,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),78.3,No,0
9142-KZXOP,Male,No,No,44,Yes,Fiber optic,No,Month-to-month,No,Credit card (automatic),68.85,No,0
7674-YTAFD,Female,No,No,33,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic),79.95,No,0
6348-SNFUS,Male,Yes,Yes,72,No,DSL,No,Two year,Yes,Credit card (automatic),55.45,No,0
1285-OKIPP,Male,No,No,1,Yes,Fiber optic,No,Month-to-month,No,Electronic check,79.9,Yes,0
7825-ECJRF,Female,No,No,19,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,106.6,Yes,0
1347-KTTTA,Male,Yes,No,64,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),102.45,No,0
7841-TZDMQ,Male,No,No,2,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic),46,Yes,0
4195-NZGTA,Female,No,No,1,No,DSL,No,Month-to-month,No,Electronic check,25.25,No,0
7157-SMCFK,Male,No,Yes,61,Yes,No,No internet service,Two year,No,Mailed check,19.75,No,0
4709-LKHYG,Female,Yes,Yes,29,Yes,No,No internet service,One year,No,Electronic check,20,No,0
2504-DSHIH,Male,Yes,No,23,Yes,Fiber optic,No,Month-to-month,No,Electronic check,86.8,No,1
0699-NDKJM,Female,Yes,No,57,No,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic),58.75,No,0
9286-BHDQG,Male,Yes,Yes,72,No,DSL,No,Two year,No,Credit card (automatic),45.25,No,0
0230-WEQUW,Male,Yes,No,66,No,DSL,Yes,Two year,Yes,Bank transfer (automatic),56.6,No,0
2040-LDIWQ,Male,Yes,Yes,65,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic),84.2,No,0
6496-JDSSB,Female,No,No,8,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),80,No,0
9408-SSNVZ,Female,No,No,4,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,70.15,Yes,0
4443-EMBNA,Female,Yes,No,71,Yes,No,No internet service,Two year,No,Bank transfer (automatic),24.75,No,0
6469-MRVET,Male,Yes,Yes,1,Yes,No,No internet service,One year,Yes,Electronic check,20.2,No,0
0742-MOABM,Male,Yes,No,4,Yes,DSL,No,Month-to-month,No,Mailed check,50.05,Yes,0
5961-VUSRV,Female,No,No,12,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),19.35,No,0
6778-JFCMK,Male,No,No,24,No,DSL,Yes,One year,Yes,Mailed check,50.6,No,0
6341-JVQGF,Female,Yes,Yes,31,Yes,DSL,Yes,One year,Yes,Mailed check,81.15,No,0
2232-DMLXU,Female,Yes,No,1,Yes,DSL,Yes,Month-to-month,No,Mailed check,55.2,Yes,0
4811-JBUVU,Male,No,No,30,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),89.9,No,0
0945-TSONX,Female,Yes,Yes,47,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),85.3,No,0
2651-ZCBXV,Male,No,No,54,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic),108,No,0
3316-UWXUY,Male,No,No,50,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),93.5,No,0
8937-RDTHP,Male,No,No,1,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,84.6,Yes,0
7083-MIOPC,Female,No,No,72,Yes,No,No internet service,Two year,No,Credit card (automatic),20.25,No,0
1984-GPTEH,Female,No,No,29,Yes,No,No internet service,Month-to-month,No,Electronic check,25.15,No,0
1251-KRREG,Male,No,No,2,Yes,DSL,No,Month-to-month,Yes,Mailed check,54.4,Yes,0
0621-JFHOL,Female,No,No,10,No,DSL,No,Two year,Yes,Mailed check,29.6,No,0
9903-LYSAB,Male,Yes,No,18,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,73.15,No,0
0094-OIFMO,Female,No,No,11,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95,Yes,1
9227-UAQFT,Male,No,No,16,Yes,No,No internet service,Two year,No,Mailed check,19.75,No,0
7301-ABVAD,Female,No,No,72,Yes,DSL,Yes,Two year,No,Bank transfer (automatic),86.6,No,0
6614-FHDBO,Male,No,No,72,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic),109.2,No,0
7576-ASEJU,Female,Yes,Yes,41,Yes,DSL,Yes,One year,Yes,Credit card (automatic),74.7,No,0
9058-HRZSV,Female,Yes,No,65,Yes,Fiber optic,No,Month-to-month,No,Electronic check,94.4,No,1
